Region Oil Gas
Central 736933 22000178
Central 9378 65876
Central 23746 208304
Central 1071426 23434846
Western 11072 4586124
Central 11209532 39962333
Central 928 252799
Central 2525728 20864290
Western 97477 18268060
Western 2425257 26806879
Central 189 5583589
Western 815818 29853841
Central 1536458 10660991
Central 12619 202503
Central 1613128 2985436
Central 496318 17235474
Central 22349 327481
Central 2796467 25476954
Central 18877 391415
Western 137 159650
Central 391095 10904647
Central 278247 5105086
Western 192825 2592106
Central 7863 393988
Western 1 222738
Central 1160924 10479036
Central 2048053 21851687
Western 607 288557
Central 1292758 11457013
Central 1546179 12421529
Central 932032 7746567
Central 874 6607530
Central 1369 13433019
Central 994678 6070587
Central 327567 4402482
Central 2070322 24744466
Western 1055 254911
Central 1803714 11521833
Central 444 14525991
Central 1049321 7785206
Western 660 158571
Central 30 372156
Central 557977 19858700
Central 2898433 34528667
Central 2217744 14641284
Western 22643 9719302
Central 7980824 22286847
Central 729754 23042195
Central 3386218 6554877
Western 1727753 2052967
Central 1227484 15539716
Central 18813 203902
Central 2437 12622860
Central 6050812 13811965
Western 1556794 14943502
Western 53 305082
Western 897 1432730
Central 127055 1672641
Central 3755879 41709004
Western 174353 4202861
Central 1782034 11742175
Western 24579 10101253
Central 52 382808
Western 412 1452099
Central 15644 497137
Western 12405 3958609
Western 907611 6915014
Western 539 1469134
Central 839781 4779442
Central 0 491462
Western 1046430 1189657
Central 2535354 15539726
Central 237022 3282947
Central 15777 125178
Central 725375 4696209
Western 104925 19056474
Central 3094178 33383460
Central 20192 228279
Central 1002661 12365635
Central 58 493203
Central 4222864 35267292
Western 27154 9204445
Western 81 788200
Central 43137 408078
Central 3538923 29279266
Central 315661 3129276
Central 2722569 23280645
Central 19931486 60868843
Central 1219633 1789703
Central 2312083 17769833
Central 20563 522897
Western 70967 17352571
Central 739578 7360714
Central 714211 7712949
Western 32024 9670164
Central 1467529 12833278
Central 1903669 23837209
Central 92812 530009
Central 399728 33254358
Western 153836 1347828
Central 8852673 23813890
Central 3495804 30463553
Central 378661 12626846
Central 725827 6682256
Central 1932804 25485134
Western 94785 14606568
Western 17141 9943403
Central 2238491 14479859
Western 1376594 46440917
Central 1411235 30074130
Central 19 137496
Central 3030217 38001095
Western 144545 1546796
Central 1092296 6671227
Western 1130912 39295392
Central 1250 10218528
Western 892455 29165126
Central 65582 1178573
Central 651541 5873222
Western 2705318 15185937
Central 4314411 12359863
Central 20966 330620
Central 1598591 18923619
Central 75892 659948
Western 34353 5931735
Central 195932 3941531
Central 789229 5121596
Western 3681750 23858369
Central 1158 12227903
Central 1261869 7446145
Central 40 267260
Central 1341431 12265893
Central 7632388 17235678
Central 12864 261103
Central 2179956 16413586
Central 404259 13167117
Central 1566702 12860737
Central 1590336 14151316
Central 1395134 31826941
Western 45894 9894195
Western 2321844 11790909
Western 10134 2042630
Central 1217806 9892603
Central 674549 6275607
Central 6344945 15739926
Central 19329 449851
Central 1121588 1388704
Central 1895445 22369375
Central 2503229 33427751
Western 102 20739
Central 3127506 23891482
Western 693682 14443404
Central 1822639 21260756
Central 1888808 3624016
Central 4407988 36420692
Central 2047643 17863523
Western 151289 2932292
Central 2628687 15309215
Western 225 30669
Western 351164 6057584
Central 505508 35639670
Central 1387166 10534851
Western 479 79701
Western 7980 2283491
Central 10726765 36540259
Central 551253 6717005
Central 657653 41068603
Western 11378 3360602
Central 2758168 17858095
Western 3852304 23429006
Central 2504939 25048163
Western 106188 22266805
Western 85098 1397796
Central 124432 11637951
Central 154514 2488291
Central 234930 2148707
Central 1329586 8648809
Central 1325960 23542251
Central 221394 3259073
Western 21219 9149728
Western 174309 2893420
Central 94920 689173
Central 478966 3134984
Central 1562190 18794745
Western 18192 7515216
Central 2539137 15875110
Central 38536 103128
Central 428222 14436458
Central 1410761 27259397
Central 485857 14611587
Central 394263 35242970
Western 173764 4643005
Central 1197779 17099935
Central 40 402413
Central 1189170 20990034
Central 1188504 18750761
Central 389689 31599654
Central 1126983 23846919
Central 2330336 24020992
Central 0 191359
Central 1511121 11227271
Central 48197 51710
Central 8 331805
Central 1530313 3229357
Central 2355806 26701047
Central 3327680 6201740
Central 1872061 14415690
Central 2696911 21935414
Central 1736 9195112
Central 2755472 25783878
Central 1306620 27383711
Central 3478411 27034014
Central 1114044 23197705
Western 1292034 42207112
Central 17605 125389
Central 76517 654281
Central 1666676 8367254
Central 2097045 18044173
Western 107 1114408
Western 1387021 1461537
Central 25402 15492
Western 247 1149579
Central 1163289 23960368
Central 1905164 13765018
Central 1613938 28568179
Western 1571517 2474444
Central 673364 5594581
Central 974036 2252270
Central 831008 22730568
Central 1814013 14650149
Central 1483604 8203346
Central 625 7218422
Central 2695620 12116090
Western 2064 143342
Central 1446582 1665644
Central 626190 17427830
